time,S,I,R
7.75,0.9856871459707921,0.010955580855275041,0.0033572731739318438
7.800000000000001,0.9848156872154873,0.011621041295168489,0.003563271489343121
7.8500000000000005,0.9838921691243241,0.012326056070598392,0.0037817748050764134
7.9,0.982913606748608,0.013072867806682018,0.004013525444708891
7.95,0.9818768595785544,0.013863832722169431,0.004259307699274876
8,0.9807786253966115,0.014701424665638379,0.004519949937748897
8.05,0.9796154341466262,0.015588239062919488,0.0047963267904529965
8.1,0.9783836418614448,0.016526996735148597,0.005089361403405369
8.15,0.9770794246978685,0.017520547541293844,0.005400027760836452
8.200000000000001,0.9756987731348297,0.018571873792967684,0.005729353072201423
8.25,0.9742374863981901,0.019684093382801658,0.006078420219007015
8.3,0.9726911671837377,0.02086046256062621,0.006448370255634807
8.35,0.9710552167587561,0.022104378284167822,0.006840404957074864
8.4,0.9693248305319564,0.023419380062968436,0.007255789405073802
8.450000000000001,0.9674949941915869,0.02480915120577153,0.007695854602640183
8.5,0.965560480522106,0.026277519372760464,0.00816200010513216
8.55,0.9635158470208969,0.027828456324833547,0.008655696654268219
8.6,0.9613554344480006,0.029466076752650287,0.00917848879934775
8.65,0.9590733664536589,0.031194636058598735,0.009731997487740939
8.700000000000001,0.9566635504404435,0.03301852695525169,0.010317922604303316
8.75,0.9541196798287156,0.0349422747344882,0.01093804543679475
8.8,0.9514352379059001,0.03697053105246111,0.011594231041637267
8.85,0.9486035034513006,0.03910806606725531,0.012288430481442665
8.9,0.9456175583385968,0.04135975875870732,0.013022682902694422
8.950000000000001,0.9424702973274133,0.04373058525378874,0.013799117418796615
9,0.9391544402629545,0.04622560497660646,0.014619954760437643
9.05,0.9356625468522133,0.0488499444897148,0.01548750865807046
9.1,0.9319870344967859,0.051608778618384046,0.01640418688482867
9.15,0.9281201989904287,0.05450730905497904,0.017372491954590754
9.200000000000001,0.9240542385698493,0.05755074003057658,0.018395021399572737
9.25,0.9197812815559745,0.060744250876866177,0.01947446756715786
9.3,0.9152934177035148,0.06409296540683225,0.020613616889651395
9.35,0.9105827334293239,0.06760191800331654,0.021815348567357916
9.4,0.9056413511022858,0.07127601629694653,0.023082632600766005
9.450000000000001,0.9004614725041568,0.07512000038599738,0.024418527109844296
9.5,0.8950354265340698,0.07913839858858278,0.02582617487734585
9.55,0.8893557211786975,0.0833354797683142,0.02730879905298668
9.600000000000001,0.8834150997080287,0.08771520233512364,0.028869697956846015
9.65,0.8772066009861427,0.09228116009114103,0.03051223892271467
9.700000000000001,0.870723623705853,0.09703652516821368,0.03223985112593159
9.75,0.8639599942664455,0.10198398838804594,0.034056017345506846
9.8,0.8569100379154946,0.10712569746730842,0.03596426461719531
9.850000000000001,0.8495686526700035,0.11246319358722315,0.03796815374277158
9.9,0.8419313854203495,0.11799734694848578,0.04007126763116285
9.950000000000001,0.833994509504787,0.12372829203584045,0.04227719845937068
10,0.825755102925067,0.12965536341965425,0.0445895336552768
10.05,0.8172111262581042,0.13577703302144348,0.04701184072045045
10.100000000000001,0.8083614991856968,0.1420908498861931,0.049547650928108214
10.15,0.7992061745633443,0.14859338349252582,0.052200441944127984
10.200000000000001,0.7897462086965426,0.1552801718115949,0.054973619491860616
10.25,0.7799838265261687,0.16214567539840838,0.057870498075421065
10.3,0.7699224803823758,0.16918323867563614,0.06089428094198631
10.350000000000001,0.7595669009249613,0.17638505965179804,0.06404803942323883
10.4,0.7489231388854856,0.18374216930925172,0.0673346918052608
10.450000000000001,0.7379985962882445,0.19124442179289083,0.07075698191886279
10.5,0.7268020459071282,0.19888049643554898,0.07431745765732099
10.55,0.7153436378371976,0.20663791251671904,0.07801844964608143
10.600000000000001,0.7036348922219743,0.21450305747431733,0.0818620503037064
10.65,0.6916886773776788,0.22246122907769034,0.0858500935446289
10.700000000000001,0.6795191731019791,0.23049669153871225,0.08998413535930677
10.75,0.6671418174852662,0.23859274689046617,0.09426543562426581
10.8,0.654573239672818,0.24673181906570726,0.09869494126147288
10.850000000000001,0.641831177338444,0.2548955515964738,0.10327327106508044
10.9,0.6289343794705863,0.26306491807169835,0.10800070245771355
10.950000000000001,0.6159024958658246,0.27122034377461524,0.11287716035955836
11,0.6027559547001009,0.2793418369385171,0.11790220836138018
11.05,0.5895158295579178,0.28740912806998165,0.12307504237209864
11.100000000000001,0.5762036977835784,0.29540181534756454,0.12839448686885513
11.15,0.5628414921882443,0.30329951397158966,0.13385899384016414
11.200000000000001,0.549451348301773,0.31108200722369944,0.13946664447452572
11.25,0.5360554494636559,0.31872939693180735,0.14521515360453485
11.3,0.5226758720922932,0.32622225103311886,0.15110187687458612
11.350000000000001,0.5093344334561601,0.3335417459853203,0.15712382055851756
11.4,0.49605254416277816,0.3406698019216639,0.163277653915556
11.450000000000001,0.48285106763276414,0.34758920844265345,0.16955972392458052
11.5,0.46975018820934206,0.3542837395655964,0.17596607222505967
11.55,0.4567692898645093,0.3607382560943685,0.1824924540411203
11.600000000000001,0.4439268467943271,0.36693879435433707,0.18913435885133395
11.65,0.43124032715996896,0.3728726402945876,0.19588703254544154
11.700000000000001,0.4187261107382823,0.37852838846552095,0.20274550079619494
11.75,0.40639942104901133,0.3838959855829446,0.20970459336804215
11.8,0.3942742721963846,0.3889667587236339,0.21675896907997963
11.850000000000001,0.382363430348007,0.3937334285066275,0.2239031411453636
11.9,0.3706783895560172,0.3981901078242888,0.23113150261969215
11.950000000000001,0.35922936131520183,0.4023322869855714,0.23843835169922495
12,0.3480252771039837,0.40615680626366224,0.24581791663235225
12.05,0.3370738029414191,0.4096618170351918,0.2532643800233873
12.100000000000001,0.3263813648760482,0.4128467327911684,0.26077190233278147
12.15,0.31595318422082247,0.41571217137831484,0.2683346444008608
12.200000000000001,0.3057933212823495,0.4182598898698071,0.2759467888478415
12.25,0.29590472630663484,0.4204927134649854,0.28360256022837804
12.3,0.2862892963640346,0.4224144597917177,0.2912962438442459
12.350000000000001,0.2769479369296574,0.42402985992700604,0.29902220314333466
12.4,0.2678806269643504,0.42534447737937564,0.3067748956562722
12.450000000000001,0.25908648637335335,0.42636462618189136,0.3145488874447535
12.5,0.2505638448069467,0.4270972891384998,0.32233886605455164
12.55,0.24231031086272725,0.4275500371526487,0.3301396519846222
12.600000000000001,0.23432284085133182,0.4277309504488552,0.3379462086998112
12.65,0.22659780639222166,0.4276485423797346,0.34575365122804197
12.700000000000001,0.21913106021889261,0.4273116863858331,0.3535572533952725
12.75,0.2119179996585395,0.42672954658277373,0.361352453758685
12.8,0.2049536273741476,0.4259115123164163,0.3691348603094344
12.850000000000001,0.19823260902843381,0.42486713695306244,0.37690025401850197
12.9,0.1917493276284159,0.4236060810660776,0.3846445913055047
12.950000000000001,0.18549793438019394,0.42213806010855515,0.39236400551124917
13,0.1794723959539149,0.4204727965899244,0.40005480745615885
13.05,0.17366653812069116,0.4186199767127196,0.4077134851665874
13.100000000000001,0.16807408577486482,0.4165892113755471,0.41533670284958624
13.15,0.1626886993992183,0.4143900014060993,0.4229212991946806
13.200000000000001,0.15750400806734574,0.41203170685431206,0.43046428507834034
13.25,0.15251363910688137,0.4095235201496086,0.4379628407435082
13.3,0.14771124457029408,0.4068744429069181,0.445414312522786
13.350000000000001,0.14309052467718278,0.40409326615300906,0.4528162091698064
13.4,0.13864524840407563,0.4011885537368407,0.4601661978590819
13.450000000000001,0.1343692714053454,0.39816862868438685,0.467462099910266
13.5,0.13025655145261114,0.39504156225900006,0.47470188628838694
13.55,0.12630116158047572,0.39181516549222684,0.4818836729272956
13.600000000000001,0.12249730112446049,0.38849698295623275,0.4890057159193049
13.65,0.11883930483226267,0.38509428855779687,0.49606640660993867
13.700000000000001,0.11532165022375382,0.381614083143458,0.5030642666327865
13.75,0.1119389633675897,0.3780630937168258,0.5099979429155829
13.8,0.10868602323387082,0.3744477740808289,0.5168662026852986
13.850000000000001,0.10555776477327888,0.37077430673007916,0.5236679284966403
13.9,0.10254928086365775,0.36704860583108695,0.5304021133052537
13.950000000000001,0.09965582325533083,0.36327632114056124,0.5370678556041064
14,0.09687280263676981,0.35946284272432844,0.5436643546389002
14.05,0.09419578793267325,0.3556133063513553,0.5501909057159698
14.100000000000001,0.09162050493721033,0.3517325994488615,0.5566468956139266
14.15,0.08914283437620019,0.3478253675154603,0.5630317981083379
14.200000000000001,0.08675880948341967,0.343896020899638,0.5693451696169407
14.25,0.0844646131680958,0.3399487418606198,0.5755866449712828
14.3,0.08225657484297355,0.33598749183775894,0.5817559333192659
14.350000000000001,0.08013116697518571,0.33201601886303245,0.5878528141617803
14.4,0.07808500141547567,0.32803786505901156,0.5938771335255112
14.450000000000001,0.07611482555515237,0.32405637417184113,0.5998288002730049
14.5,0.07421751835446813,0.3200746990953104,0.60570778255022
14.55,0.07239008628089072,0.31609580934805576,0.6115141043710519
14.600000000000001,0.07062965919097985,0.3121224984713538,0.6172478423376647
14.65,0.06893348618524048,0.30815739131983344,0.6229091224949246
14.700000000000001,0.067298931461399,0.3042029512218385,0.6284981173167609
14.75,0.06572347018796021,0.30026148699015176,0.6340150428218865
14.8,0.06420468441703964,0.2963351597669499,0.6394601558160088
14.850000000000001,0.06274025905162846,0.29242598969097916,0.6448337512573907
14.9,0.06132797788114808,0.288535862376438,0.6501361597424121
14.950000000000001,0.05996571969658103,0.2846665351958382,0.6553677451075791
15,0.058651454493410464,0.2808196433621652,0.6605289021444226
15.05,0.057383239769977265,0.27699670580645785,0.6656200544235631
15.100000000000001,0.056159216926880945,0.27319913084894387,0.6706416522241734
15.15,0.05497760777164948,0.26942822166327285,0.6755941705650759
15.200000000000001,0.053836711131728526,0.26568518153456927,0.6804781073337004
15.25,0.05273489957779367,0.2619711189130531,0.6852939815091516
15.3,0.05167061625848139,0.25828705226583637,0.6900423314756806
15.350000000000001,0.05064237184685669,0.2546339147302391,0.6947237134229025
15.4,0.049648741598265725,0.25101255857255794,0.6993386998291746
15.450000000000001,0.04868836251865679,0.24742375945671877,0.7038878780246227
15.5,0.047759930641975194,0.24386822052763577,0.7083718488303874
15.55,0.046862198414838525,0.24034657631440254,0.7127912252707572
15.600000000000001,0.045993972186371836,0.23685939645868043,0.717146631354946
15.65,0.04515410980081368,0.2334071892738099,0.7214387009253747
15.700000000000001,0.044341518290291856,0.2299904051402865,0.7256680765694199
15.75,0.043555151665001866,0.22660943974330464,0.7298354085916917
15.8,0.042794008797894995,0.2232646371580892,0.7339413540440141
15.850000000000001,0.04205713140089553,0.2199562927887267,0.7379865758103761
15.9,0.04134360208960645,0.2166846561661547,0.7419717417442371
15.950000000000001,0.04065254253343226,0.21344993361090284,0.7458975238556631
16,0.03998311168803791,0.21025229076608568,0.7497645975458747
16.05,0.03933450410707253,0.2070918550060347,0.753573640886891
16.1,0.03870594833011362,0.20396871772583963,0.757325333944045
16.150000000000002,0.038096705343826566,0.20088293651692748,0.7610203581392442
16.2,0.03750606711338609,0.19783453723366934,0.7646593956529427
16.25,0.036933355181266295,0.19482351595585157,0.7682431288628803
16.3,0.03637791933057458,0.19184984085169682,0.7717722398177268
16.35,0.03583913631017742,0.1889134539459568,0.775247409743864
16.400000000000002,0.03531640861894545,0.18601427279744462,0.7786693185836081
16.45,0.03480916334652673,0.1831521920902125,0.7820386445632589
16.5,0.03431685106814072,0.18032708514241874,0.7853560637894386
16.55,0.0338389447909723,0.17753880533677638,0.7886222498722494
16.6,0.03337493894982995,0.17478718747631047,0.7918378735738576
16.650000000000002,0.03292434844982024,0.17207204906900725,0.7950036024811706
16.7,0.032486707753875986,0.16939319154478202,0.7981201007013401
16.75,0.0320615700130606,0.16675040140804798,0.8011880285788895
16.8,0.03164850623765612,0.16414345132902838,0.8042080424333136
16.85,0.031247104507123168,0.16157210117680998,0.8071807943160649
16.900000000000002,0.030856969217103437,0.15903609899700738,0.8101069317858872
16.95,0.03047772036171267,0.15653518193677524,0.8129870977015101
17,0.030108992849449095,0.1540690771197794,0.8158219300307695
17.05,0.029750435851116766,0.15163750247362134,0.8186120616752599
17.1,0.02940171217823407,0.14924016751208702,0.8213581203096768
17.150000000000002,0.029062497690468266,0.14687677407448702,0.8240607282350426
17.2,0.02873248073070307,0.14454701702424239,0.8267205022450524
17.25,0.028411361586410975,0.14225058490876946,0.8293380535048175
17.3,0.028098851976064477,0.13998716058262026,0.8319139874413132
17.35,0.027794674559379052,0.13775642179573552,0.8344489036448833
17.400000000000002,0.027498562470238814,0.13555804174858316,0.8369433957811759
17.45,0.02721025887121007,0.13339168961586428,0.8393980515129236
17.5,0.02692951652860049,0.1312570310403882,0.8418134524310092
17.55,0.02665609740707223,0.12915372859863997,0.8441901739942859
17.6,0.026389772282864613,0.1270814422394861,0.8465287854776473
17.650000000000002,0.026130320374728528,0.12503982969739552,0.8488298499278739
17.7,0.025877528991718163,0.12302854688148308,0.8510939241267967
17.75,0.02563119319702731,0.12104724824161715,0.8533215585613535
17.8,0.02539111548709781,0.11909558711277406,0.855513297400126
17.85,0.025157105485264973,0.11717321603875815,0.8576696784759748
17.900000000000002,0.024928979649241616,0.11527978707635493,0.8597912332744013
17.95,0.024706560991776427,0.1134149520809288,0.8618784869272926
18,0.024489678813855196,0.11157836297442587,0.8639319582117168
18.05,0.024278168449844907,0.1097696719966968,0.8659521595534561
18.1,0.02407187102400991,0.10798853194100409,0.8679395970349838
18.150000000000002,0.02387063321785806,0.10623459637453937,0.8698947704076003
18.2,0.02367430704780132,0.10450751984473149,0.8718181731074649
18.25,0.023482749652640782,0.10280695807208778,0.8737102922752692
18.3,0.023295823090410683,0.10113256813027492,0.8755716087793122
18.35,0.02311339414413841,0.09948400861410678,0.8774025972417525
18.400000000000002,0.02293533413610002,0.09786093979607632,0.8792037260678214
18.45,0.022761518750171177,0.0962630237720348,0.8809754574777917
18.5,0.022591827861893274,0.09468992459659047,0.882718247541514
18.55,0.02242614537589348,0.09314130840877294,0.8844325462153313
18.6,0.022264359070314817,0.091616843548477,0.886118797381206
18.650000000000002,0.022106360447929747,0.09011620066417858,0.8877774388878895
18.7,0.021952044593626596,0.0886390528123877,0.8894089025939836
18.75,0.02180131003797328,0.08718507554928007,0.8910136144127446
18.8,0.021654058626577696,0.08575394701492885,0.8925919943584915
18.85,0.021510195394977324,0.08434534801053281,0.8941444565944878
18.900000000000002,0.021369628448804093,0.0829589620690212,0.8956714094821727
18.95,0.021232268848986224,0.08159447551939081,0.897173255631621
19,0.021098030501794537,0.08025157754506487,0.8986503919531386
19.05,0.02096683005330029,0.07892996023687363,0.900103209709824
19.1,0.02083858678842245,0.0776293186404719,0.9015320945711035
19.150000000000002,0.020713222534093603,0.07634935079883537,0.9029374266670689
19.200000000000003,0.020590661566366526,0.07508975779009518,0.9043195806435362
19.25,0.02047083052135568,0.07385024376088188,0.9056789257177603
19.3,0.020353658309819483,0.0726305159554583,0.9070158257347201
19.35,0.020239076035219798,0.07143028474088105,0.908330639223897
19.400000000000002,0.020127016915103588,0.07024926362841388,0.9096237194564804
19.450000000000003,0.0200174162056594,0.06908716929140861,0.9108954145029299
19.5,0.019910211129308165,0.0679437215798559,0.9121460672908338
19.55,0.019805340805194523,0.06681864353179845,0.9133760156630049
19.6,0.01970274618245128,0.06571166138179074,0.9145855924357559
19.650000000000002,0.019602369976115454,0.06462250456657766,0.9157751254573048
19.700000000000003,0.01950415660558027,0.06355090572815787,0.9169449376662597
19.75,0.019408052135472798,0.062496600714388555,0.9180953471501365
19.8,0.01931400421885206,0.06145932857727931,0.9192266672038665
19.85,0.019221962042627473,0.060438831569117765,0.9203392063882526
19.900000000000002,0.019131876275101992,0.05943485513655924,0.9214332685883366
19.950000000000003,0.019043699015548872,0.058447147912808556,0.9225091530716404
20,0.018957383745735135,0.057475461708014465,0.9235671545462483
